Institution ID,Security Ticker,Shares Held,Position report date
000W5D-E,EQR,65900,20080331
000W5D-E,EQR,65900,20080630
000W5D-E,EQR,63300,20080930
000W5D-E,EQR,64100,20081231
000W5D-E,EQR,64100,20090331
000W5D-E,EQR,64100,20090630
000W5D-E,EQR,64100,20090930
000W5D-E,EQR,27800,20091231
000W5D-E,EQR,27800,20100331
000W5D-E,EQR,27800,20100630
000W5D-E,EQR,27800,20100930
000W5D-E,EQR,27800,20101231
000W5D-E,MON,58238,20090331
000W5D-E,MON,58218,20090630
000W5D-E,MON,58218,20090930
000W5D-E,MON,58168,20091231
000W5D-E,MON,58168,20100331
000W5D-E,MON,56943,20100630
000W5D-E,MON,52580,20100930
000W5D-E,MON,52580,20101231
000W5D-E,SPWR,1600,20071231
000W5D-E,BUCY,43725,20100930
000W5D-E,BUCY,43725,20101231
000W5D-E,GGP,71150,20061231
000W5D-E,GGP,71150,20070331
000W5D-E,GGP,72025,20070630
000W5D-E,GGP,72025,20070930
000W5D-E,GGP,72025,20071231
000W5D-E,GGP,74750,20080331
000W5D-E,GGP,74750,20080630
000W5D-E,GGP,74750,20080930
000W5D-E,GGP,53800,20081231
000W5D-E,GGP,53800,20090331
000W5D-E,GGP,53800,20090630
000W5D-E,GGP,53800,20090930
000W5D-E,GGP,18100,20091231
000W5D-E,GGP,18354,20100331
000W5D-E,GGP,18354,20100630
000W5D-E,GGP,18354,20100930
000W5D-E,GGP,18354,20101231
000W5D-E,SSLTY,14300,20061231
000W5D-E,SSLTY,14300,20070331
000W5D-E,SSLTY,14300,20070630
000W5D-E,SSLTY,14300,20070930
000W5D-E,SSLTY,14300,20071231
000W5D-E,SSLTY,14300,20080331
000W5D-E,SSLTY,14300,20080630
000W5D-E,SSLTY,14300,20080930
000W5D-E,SSLTY,13400,20081231
000W5D-E,SSLTY,13400,20090331
000W5D-E,SSLTY,13400,20090630
000W5D-E,SSLTY,13400,20090930
000W5D-E,SSLTY,13400,20091231
000W5D-E,SSLTY,13400,20100331
000W5D-E,SSLTY,48800,20100630
000W5D-E,SSLTY,48800,20100930
000W5D-E,SSLTY,48800,20101231
000W5D-E,CIT,334068,20091231
000W5D-E,CIT,35800,20100331
000W5D-E,CIT,35800,20100630
000W5D-E,CIT,35800,20100930
000W5D-E,CIT,35800,20101231
000W5D-E,ICLR,4250,20080331
000W5D-E,ICLR,4250,20080630
000W5D-E,ICLR,11300,20080930
000W5D-E,ICLR,7950,20100331
000W5D-E,ICLR,7950,20100630
000W5D-E,AHL,186440,20061231
000W5D-E,AHL,241510,20070331
000W5D-E,AHL,241430,20070630
000W5D-E,AHL,244555,20070930
000W5D-E,AHL,274030,20071231
000W5D-E,AHL,277155,20080331
000W5D-E,AHL,265530,20080630
000W5D-E,AHL,267530,20080930
000W5D-E,AHL,270115,20081231
000W5D-E,AHL,268975,20090331
000W5D-E,AHL,268885,20090630
000W5D-E,AHL,268650,20090930
000W5D-E,AHL,268370,20091231
000W5D-E,AHL,268370,20100331
000W5D-E,AHL,251445,20100630
000W5D-E,AHL,223605,20100930
000W5D-E,AHL,222240,20101231
000W5D-E,RAI,47000,20061231
000W5D-E,RAI,41700,20070331
000W5D-E,RAI,41700,20070630
000W5D-E,RAI,40700,20070930
000W5D-E,RAI,40700,20071231
000W5D-E,RAI,38200,20080331
000W5D-E,RAI,38200,20080630
000W5D-E,RAI,23200,20080930
000W5D-E,RAI,24400,20081231
000W5D-E,RAI,24400,20090331
000W5D-E,RAI,24400,20090630
000W5D-E,RAI,24400,20090930
000W5D-E,RAI,24400,20091231
000W5D-E,RAI,24400,20100331
000W5D-E,RAI,24400,20100630
000W5D-E,RAI,24400,20100930
000W5D-E,RAI,48800,20101231
000W5D-E,SGAPY,38760,20061231
000W5D-E,SGAPY,38760,20070331
000W5D-E,SGAPY,38760,20070630
000W5D-E,SGAPY,38760,20070930
000W5D-E,SGAPY,38760,20071231
000W5D-E,SGAPY,38760,20080331
000W5D-E,SGAPY,38760,20080630
000W5D-E,SGAPY,38760,20080930
000W5D-E,SGAPY,36195,20081231
000W5D-E,SGAPY,36195,20090331
000W5D-E,SGAPY,36195,20090630
000W5D-E,SGAPY,36195,20090930
000W5D-E,SGAPY,36195,20091231
000W5D-E,SGAPY,36195,20100331
000W5D-E,SGAPY,36195,20100630
000W5D-E,SGAPY,36195,20100930
000W5D-E,SGAPY,36195,20101231
000W5D-E,NOC,119870,20081231
000W5D-E,NOC,96420,20090331
000W5D-E,NOC,96380,20090630
000W5D-E,NOC,96380,20090930
000W5D-E,NOC,73375,20091231
000W5D-E,NOC,73370,20100331
000W5D-E,NOC,70870,20100630
000W5D-E,NOC,62270,20100930
000W5D-E,NOC,62170,20101231
000W5D-E,FSLR,900,20071231
000W5D-E,YUM,7000,20061231
000W5D-E,YUM,7000,20070331
000W5D-E,YUM,14000,20070630
000W5D-E,YUM,14400,20070930
000W5D-E,YUM,14200,20071231
000W5D-E,YUM,14000,20080331
000W5D-E,YUM,14000,20080630
000W5D-E,YUM,14000,20080930
000W5D-E,YUM,14000,20081231
000W5D-E,YUM,14000,20090331
000W5D-E,YUM,14000,20090630
000W5D-E,YUM,14000,20090930
000W5D-E,YUM,14000,20091231
000W5D-E,YUM,14000,20100331
000W5D-E,YUM,14000,20100630
000W5D-E,YUM,14000,20100930
000W5D-E,YUM,14000,20101231
000W5D-E,ED,40210,20061231
000W5D-E,ED,40210,20070331
000W5D-E,ED,40210,20070630
000W5D-E,ED,40510,20070930
000W5D-E,ED,37735,20071231
000W5D-E,ED,33100,20080331
000W5D-E,ED,32100,20080630
000W5D-E,ED,30300,20080930
000W5D-E,ED,29100,20081231
000W5D-E,ED,28500,20090331
000W5D-E,ED,27475,20090630
000W5D-E,ED,26875,20090930
000W5D-E,ED,26875,20091231
000W5D-E,ED,26850,20100331
000W5D-E,ED,23550,20100630
000W5D-E,ED,7150,20100930
000W5D-E,ED,7125,20101231
000W5D-E,LLTC,157705,20061231
000W5D-E,LLTC,157690,20070331
000W5D-E,LLTC,157640,20070630
000W5D-E,LLTC,158447,20070930
000W5D-E,LLTC,170097,20071231
000W5D-E,LLTC,174292,20080331
000W5D-E,LLTC,174342,20080630
000W5D-E,LLTC,180367,20080930
000W5D-E,LLTC,186117,20081231
000W5D-E,LLTC,188347,20090331
000W5D-E,LLTC,189687,20090630
000W5D-E,LLTC,189682,20090930
000W5D-E,LLTC,189532,20091231
000W5D-E,LLTC,189527,20100331
000W5D-E,LLTC,182280,20100630
000W5D-E,LLTC,156100,20100930
000W5D-E,LLTC,64900,20101231
000W5D-E,DANOY,21300,20061231
000W5D-E,DANOY,21300,20070331
000W5D-E,DANOY,42600,20070630
000W5D-E,DANOY,42600,20070930
000W5D-E,DANOY,42600,20071231
000W5D-E,DANOY,42600,20080331
000W5D-E,DANOY,42600,20080630
000W5D-E,DANOY,42600,20080930
000W5D-E,DANOY,39800,20081231
000W5D-E,DANOY,39800,20090331
000W5D-E,DANOY,39800,20090630
000W5D-E,DANOY,39800,20090930
000W5D-E,DANOY,39800,20091231
000W5D-E,DANOY,39800,20100331
000W5D-E,DANOY,39800,20100630
000W5D-E,DANOY,39800,20100930
000W5D-E,DANOY,39800,20101231
000W5D-E,ITUB,3975,20090331
000W5D-E,ITUB,22854,20090630
000W5D-E,ITUB,25138,20090930
000W5D-E,ITUB,25138,20091231
000W5D-E,ITUB,25138,20100331
000W5D-E,ITUB,25138,20100630
000W5D-E,ITUB,25138,20100930
000W5D-E,ITUB,25138,20101231
000W5D-E,MDLZ,10100,20061231
000W5D-E,MDLZ,10100,20070331
000W5D-E,MDLZ,62675,20070630
000W5D-E,MDLZ,64920,20070930
000W5D-E,MDLZ,65175,20071231
000W5D-E,MDLZ,66816,20080331
000W5D-E,MDLZ,66716,20080630
000W5D-E,MDLZ,66616,20080930
000W5D-E,MDLZ,66616,20081231
000W5D-E,MDLZ,66616,20090331
000W5D-E,MDLZ,66616,20090630
000W5D-E,MDLZ,74880,20090930
000W5D-E,MDLZ,91086,20091231
000W5D-E,MDLZ,106911,20100331
000W5D-E,MDLZ,96361,20100630
000W5D-E,MDLZ,64986,20100930
000W5D-E,MDLZ,64911,20101231
000W5D-E,REVUQ,25200,20061231
000W5D-E,REVUQ,25200,20070331
000W5D-E,REVUQ,25200,20070630
000W5D-E,REVUQ,25200,20070930
000W5D-E,REVUQ,25200,20071231
000W5D-E,REVUQ,25200,20080331
000W5D-E,REVUQ,25200,20080630
000W5D-E,REVUQ,25200,20080930
000W5D-E,REVUQ,25200,20081231
000W5D-E,REVUQ,25200,20090331
000W5D-E,REVUQ,25200,20090630
000W5D-E,REVUQ,25200,20090930
000W5D-E,REVUQ,25200,20091231
000W5D-E,REVUQ,25200,20100331
000W5D-E,REVUQ,25200,20100630
000W5D-E,REVUQ,25200,20100930
000W5D-E,TA,7650,20070331
000W5D-E,TA,7650,20070630
000W5D-E,TA,7750,20070930
000W5D-E,JNY,14600,20061231
000W5D-E,JNY,14600,20070331
000W5D-E,JNY,14600,20070630
000W5D-E,JNY,14600,20070930
